state,district,cluster_label,total_bio,ratio_5_17,ratio_17_plus,key_insight,recommendation,lat,lng,growth_factor,predicted_load,alert_status,recommendation_engine
Andaman & Nicobar Islands,Andamans,Low Load,272,0.1029411764705882,0.8970588235294118,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,11.964766771528762,92.21535634079895,1.1249080237694726,305,Normal,Stable: Monitor weekly.
Andaman & Nicobar Islands,Nicobars,Low Load,1,1.0,0.0,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,11.55529033783061,92.68949129237534,1.2401428612819831,1,Normal,Stable: Monitor weekly.
Andaman & Nicobar Islands,South Andaman,Low Load,7,0.0,1.0,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,12.030723164838964,92.46875250293208,1.196398788362281,8,Normal,Stable: Monitor weekly.
Andaman And Nicobar Islands,Nicobar,Low Load,279,0.6379928315412187,0.3620071684587813,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.597131011496074,82.04782198588948,1.1697316968394074,326,Normal,Stable: Monitor weekly.
Andaman And Nicobar Islands,North And Middle Andaman,Low Load,819,0.5738705738705738,0.4261294261294261,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,21.516905505458435,76.82367579802906,1.0812037280884874,885,Normal,Stable: Monitor weekly.
Andaman And Nicobar Islands,South Andaman,Low Load,1399,0.677626876340243,0.3223731236597569,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,16.785206252452305,81.92079099120744,1.0811989040672405,1512,Normal,Stable: Monitor weekly.
Andhra Pradesh,Adilabad,Medium Load,5672,0.1789492242595204,0.8210507757404796,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.,13.516347054251936,81.61350836342099,1.06161672243364,6021,Normal,Stable: Monitor weekly.
Andhra Pradesh,Alluri Sitharama Raju,Low Load,2140,0.305607476635514,0.694392523364486,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,16.05468567013606,81.93533849256448,1.223235229154987,2617,Normal,Stable: Monitor weekly.
Andhra Pradesh,Anakapalli,Low Load,954,0.5524109014675053,0.4475890985324947,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.,17.40391617886833,82.22967055266668,1.1702230023486417,1116,Normal,Stable: Monitor weekly.
Andhra Pradesh,Anantapur,High Load,10002,0.3416316736652669,0.6583683263347331,Balanced biometric usage across age groups.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution.",15.163559077258551,81.07594144465563,1.191614515559209,11918,Normal,Stable: Monitor weekly.
