state,district,cluster_label,total_bio,ratio_5_17,ratio_17_plus,key_insight,recommendation
Andaman & Nicobar Islands,Andamans,Low Load,272,0.1029411764705882,0.8970588235294118,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andaman & Nicobar Islands,Nicobars,Low Load,1,1.0,0.0,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andaman & Nicobar Islands,South Andaman,Low Load,7,0.0,1.0,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andaman And Nicobar Islands,Nicobar,Low Load,279,0.6379928315412187,0.3620071684587813,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andaman And Nicobar Islands,North And Middle Andaman,Low Load,819,0.5738705738705738,0.4261294261294261,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andaman And Nicobar Islands,South Andaman,Low Load,1399,0.677626876340243,0.3223731236597569,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andhra Pradesh,Adilabad,Medium Load,5672,0.1789492242595204,0.8210507757404796,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,Alluri Sitharama Raju,Low Load,2140,0.305607476635514,0.694392523364486,Balanced biometric usage across age groups.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andhra Pradesh,Anakapalli,Low Load,954,0.5524109014675053,0.4475890985324947,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
Andhra Pradesh,Anantapur,High Load,10002,0.3416316736652669,0.6583683263347331,Balanced biometric usage across age groups.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution."
Andhra Pradesh,Ananthapur,High Load,13938,0.8410101879753192,0.1589898120246807,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution."
Andhra Pradesh,Ananthapuramu,High Load,16153,0.8707979941806475,0.1292020058193524,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution."
Andhra Pradesh,Annamayya,Medium Load,1154,0.5441941074523396,0.4558058925476603,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,Bapatla,Medium Load,894,0.540268456375839,0.4597315436241611,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,Chittoor,High Load,28193,0.6659454474514951,0.3340545525485049,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution."
Andhra Pradesh,Cuddapah,High Load,16826,0.689587543088078,0.310412456911922,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution."
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Medium Load,1076,0.5148698884758365,0.4851301115241636,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,East Godavari,High Load,30115,0.6131495932259671,0.3868504067740329,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution."
Andhra Pradesh,Eluru,Medium Load,1392,0.4489942528735632,0.5510057471264368,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,Guntur,High Load,31262,0.6287825475017593,0.3712174524982407,High biometric usage among children suggests dependency on education and child welfare schemes.,"High biometric authentication pressure detected. Recommended actions: increase Aadhaar authentication infrastructure, deploy additional servers, and optimize load distribution."
Andhra Pradesh,Hyderabad,Medium Load,12333,0.1742479526473688,0.8257520473526312,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,K.V. Rangareddy,Medium Load,77,0.4935064935064935,0.5064935064935064,High biometric usage among children suggests dependency on education and child welfare schemes.,Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,K.V.Rangareddy,Medium Load,91,0.2857142857142857,0.7142857142857143,"Adult population dominates biometric authentication, indicating strong dependency on DBT and banking services.",Moderate biometric load observed. Recommended actions: monitor trends closely and optimize existing resources.
Andhra Pradesh,Kakinada,Low Load,1167,0.493573264781491,0.506426735218509,High biometric usage among children suggests dependency on education and child welfare schemes.,Low biometric authentication load observed. Recommended actions: maintain current infrastructure and continue monitoring.
